equipment_id,equipment_type,manufacturer,model,serial_number,facility_id,facility,county,keph_level,department,latitude,longitude,installation_date,last_maintenance_date,operating_hours_at_start,maintenance_interval_days,criticality,scenario_type,scenario_rationale,discrepancy_pct_target
ME-00020,Anesthesia,Mindray,Aisys,SN-AFWP-73178108,25454.0,Mediforte Hospital Limited,Kisii,Level 4,Operating Theatre,-0.6773,34.7796,2020-01-15,2026-05-07,8962,120,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.177
ME-00021,Hemodialysis,B. Braun,6008,SN-YQYY-77360260,14139.0,Tabaka Mission Hospital,Kisii,Level 5,Renal Unit,-0.6773,34.7796,2022-06-30,2026-04-14,16303,30,Low,UsageDiscrepancy+MaintenanceNeglect,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.",0.138
ME-00022,Anesthesia,Drager,Perseus,SN-LVID-68723430,23542.0,St.Marys Mother & Child Hospital (Kiambu Town ),Kiambu,Level 4,Operating Theatre,-1.1714,36.8356,2024-12-26,2026-04-19,7232,180,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00023,Hemodialysis,B. Braun,6008,SN-GFLE-00978820,13380.0,Khorof Harar Sub-District Hospital,Wajir,Level 4,Renal Unit,1.7471,40.0573,2023-09-08,2026-03-03,9185,30,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.362
ME-00024,X-Ray,Siemens,DigitalDiagnost,SN-NFAQ-36193990,14088.0,Simba Opepo Health Centre,Kisumu,Level 3,Radiology,-0.0917,34.768,2023-08-04,2026-06-07,18713,30,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.398
ME-00025,X-Ray,GE Healthcare,Definium,SN-IQPT-85435346,22190.0,Kilusi Health Centre,Homa Bay,Level 3,Radiology,-0.5167,34.45,2022-07-07,2026-04-20,16773,60,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00026,X-Ray,Siemens,Definium,SN-NGQI-10799118,13461.0,Abidha Health Centre,Siaya,Level 3,Radiology,0.0607,34.2881,2021-08-05,2026-08-08,9690,120,High,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00027,Ultrasound,Mindray,EPIQ,SN-NZPH-13542784,25723.0,Mimosa Cottage Hospital,Nairobi,Level 3,Imaging,-1.2864,36.8172,2018-09-10,2026-06-27,6072,60,High,UsageDiscrepancy+MaintenanceNeglect,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the MES 125-hospital equipment-halt case, where machines across facilities ground to a halt due to lack of maintenance.",0.185
ME-00028,Hemodialysis,Fresenius,Dialog+,SN-JRSM-84124118,13841.0,Ndhiwa Sub-District Hospital,Homa Bay,Level 4,Renal Unit,-0.5167,34.45,2020-06-01,2026-07-07,11276,30,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.295
ME-00029,Ultrasound,GE Healthcare,LOGIQ,SN-OBRC-53487401,14256.0,Biretwa health centre,Elgeyo Marakwet,Level 3,Imaging,0.6667,35.5,2018-08-28,2026-04-23,17640,30,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.141
ME-00030,Hemodialysis,B. Braun,5008S,SN-HESJ-24278680,13798.0,Mbita Sub-County Hospital,Homa Bay,Level 4,Renal Unit,-0.5167,34.45,2023-04-08,2026-02-24,19667,60,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00031,Ventilator,Medtronic,PB980,SN-XYCW-59826204,10491.0,Karen Hospital Annex,Nyeri,Level 4,ICU,-0.4201,36.9476,2020-05-30,2026-06-30,19521,180,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00032,Patient Monitor,Mindray,CARESCAPE,SN-KZZL-31586923,21112.0,Salaam Hospital,Mombasa,Level 3,ICU,-4.0435,39.6682,2022-02-17,2026-02-22,8821,90,Critical,MaintenanceNeglect,"Maintenance-neglect-to-breakdown pattern modeled on the MES 125-hospital equipment-halt case, where machines across facilities ground to a halt due to lack of maintenance.",0.0
ME-00033,Hemodialysis,B. Braun,6008,SN-CEOM-25634216,19037.0,Medina Hospital,Garissa,Level 4,Renal Unit,-0.4569,39.6583,2025-07-28,2026-08-15,25637,30,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00034,Ultrasound,GE Healthcare,LOGIQ,SN-VREX-75433036,12545.0,Moyale Nursing Home,Marsabit,Level 3,Imaging,2.3284,37.9899,2020-12-31,2026-04-27,18617,60,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00035,Hemodialysis,Fresenius,5008S,SN-LQCG-86850142,24981.0,Glogoh Hospital Limited,Uasin Gishu,Level 4,Renal Unit,0.5204,35.2699,2023-09-13,2026-05-13,13108,90,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00036,Ultrasound,Mindray,EPIQ,SN-MQCT-55698169,15827.0,Bungasi Health Centre,Kakamega,Level 3,Imaging,0.2827,34.7519,2022-05-02,2026-02-18,21043,180,Low,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.32
ME-00037,Ventilator,Drager,C6,SN-UQHU-88356159,13158.0,Radiant Pangani Hospital,Nairobi,Level 4,ICU,-1.2864,36.8172,2021-03-07,2026-05-27,4782,30,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00038,MRI,Philips,SIGNA,SN-AQYR-46564823,12004.0,Embu Provincial General Hospital,Embu,Level 5,Radiology,-0.531,37.45,2024-12-27,2026-08-12,7671,90,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00039,MRI,Siemens,Ingenia,SN-SNBY-29946804,12004.0,Embu Provincial General Hospital,Embu,Level 5,Radiology,-0.531,37.45,2023-07-23,2026-06-15,14879,90,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00040,Hemodialysis,Nikkiso,6008,SN-QFSG-57773872,22934.0,Mazira Memorial Hospital,Kajiado,Level 4,Renal Unit,-1.85,36.7833,2024-04-09,2026-06-20,6294,120,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00041,Ventilator,Drager,PB980,SN-BCPE-95134332,12605.0,Mutuati Sub-District Hospital,Meru,Level 4,ICU,0.047,37.6556,2023-10-29,2026-08-02,5884,180,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00042,X-Ray,Siemens,Definium,SN-PJPS-17693676,10490.0,Karemeno Health Centre,Nyeri,Level 3,Radiology,-0.4201,36.9476,2018-09-03,2026-08-10,5176,30,High,MaintenanceNeglect,"Maintenance-neglect-to-breakdown pattern modeled on the MES 125-hospital equipment-halt case, where machines across facilities ground to a halt due to lack of maintenance.",0.0
ME-00043,CT,Siemens,Revolution,SN-PHDI-16328708,13074.0,The Mater Misericordiae Hospital,Nairobi,Level 5,Radiology,-1.2864,36.8172,2025-06-10,2026-05-19,23349,60,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00044,CT,Siemens,Aquilion,SN-JCKV-88957986,25719.0,The white cresent Hospital,Nandi,Level 5,Radiology,0.1833,35.1167,2022-08-30,2026-05-16,25558,60,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.379
ME-00045,Patient Monitor,GE Healthcare,IntelliVue,SN-ETSP-43487347,13068.0,Marie Stopes Nursing Home (Eastleigh),Nairobi,Level 3,ICU,-1.2864,36.8172,2020-12-08,2026-04-24,6877,90,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.361
ME-00046,X-Ray,Siemens,DigitalDiagnost,SN-TNEA-58122362,12166.0,Kamutei Health Centre,Kitui,Level 3,Radiology,-1.3667,38.0167,2022-02-03,2026-04-23,4542,120,Low,UsageDiscrepancy+MaintenanceNeglect,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.",0.378
ME-00047,MRI,GE Healthcare,SIGNA,SN-SBWK-87603669,10539.0,Kiambu County Referal Hospital,Kiambu,Level 5,Radiology,-1.1714,36.8356,2021-11-10,2026-05-21,27887,60,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00048,Hemodialysis,B. Braun,6008,SN-OFOR-05466889,16091.0,Port Victoria Hospital,Busia,Level 4,Renal Unit,0.4608,34.1116,2022-05-02,2026-05-23,29323,30,High,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00049,CT,Siemens,Aquilion,SN-IBZL-06562729,13074.0,The Mater Misericordiae Hospital,Nairobi,Level 5,Radiology,-1.2864,36.8172,2023-06-05,2026-06-26,28645,180,High,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.402
ME-00050,Hemodialysis,Nikkiso,6008,SN-YUND-01627204,20834.0,Mount Olive Sinai Hospital,Kajiado,Level 4,Renal Unit,-1.85,36.7833,2021-05-28,2026-04-24,2253,30,Critical,MaintenanceNeglect,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",0.0
ME-00051,CT,Siemens,Aquilion,SN-DWOP-64641708,15915.0,Kakamega County General Hospital,Kakamega,Level 5,Radiology,0.2827,34.7519,2019-03-18,2026-07-19,17758,30,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.39
ME-00052,MRI,Philips,SIGNA,SN-IEQH-00330923,25719.0,The white cresent Hospital,Nandi,Level 5,Radiology,0.1833,35.1167,2023-06-04,2026-04-01,1055,180,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00053,CT,Canon,SOMATOM,SN-TGLB-74529912,10539.0,Kiambu County Referal Hospital,Kiambu,Level 5,Radiology,-1.1714,36.8356,2021-04-12,2026-06-09,21419,90,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00054,Anesthesia,Mindray,Aisys,SN-RMZH-66319314,15761.0,Unilever Central Hospital,Kericho,Level 4,Operating Theatre,-0.3676,35.2861,2025-05-25,2026-06-07,22852,120,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00055,CT,Canon,Revolution,SN-AAFG-05865185,13194.0,National Spinal Injury Hospital,Nairobi,Level 6,Radiology,-1.2864,36.8172,2022-04-24,2026-04-29,7286,120,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.323
ME-00056,X-Ray,GE Healthcare,Definium,SN-XEDB-72628498,22967.0,Vital Solutions Health Centre,Narok,Level 3,Radiology,-1.0833,35.8667,2024-11-04,2026-06-13,18954,30,High,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.206
ME-00057,Ultrasound,Mindray,DC-70,SN-KNQY-45314737,12668.0,North Horr Health Centre,Marsabit,Level 3,Imaging,2.3284,37.9899,2021-06-27,2026-02-23,11559,120,Critical,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.253
ME-00058,MRI,Philips,MAGNETOM,SN-RMSR-75273545,24979.0,Kenyatta University Teaching Refferal and Research Hospital,Nairobi,Level 6,Radiology,-1.2864,36.8172,2023-05-09,2026-02-19,22589,30,High,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.275
ME-00059,Ventilator,Drager,PB980,SN-SEPT-83136783,21676.0,RAPHA HOSPITAL -MAKUENI,Makueni,Level 4,ICU,-1.8039,37.6202,2022-10-19,2026-05-16,11171,60,Medium,MaintenanceNeglect,"Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",0.0
ME-00060,Hemodialysis,B. Braun,Dialog+,SN-XEJH-01436349,18005.0,South B Hospital Ltd,Nairobi,Level 4,Renal Unit,-1.2864,36.8172,2021-07-20,2026-05-11,28844,30,Critical,UsageDiscrepancy+MaintenanceNeglect,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",0.244
ME-00061,Ventilator,Medtronic,PB980,SN-HUMU-85574443,14294.0,Chebiemit District Hospital,Elgeyo Marakwet,Level 4,ICU,0.6667,35.5,2019-08-23,2026-07-12,13582,120,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00062,MRI,Siemens,SIGNA,SN-MSGM-82337498,15288.0,Nakuru Provincial General Hospital,Nakuru,Level 5,Radiology,-0.3031,36.08,2021-02-22,2026-04-03,8170,60,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00063,Hemodialysis,Fresenius,6008,SN-DJSS-52408240,13298.0,Balambala Sub-District Hospital,Garissa,Level 4,Renal Unit,-0.4569,39.6583,2019-09-13,2026-06-21,5369,120,High,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.405
ME-00064,X-Ray,GE Healthcare,DigitalDiagnost,SN-VLDQ-71094777,16438.0,Kyeleni Health Centre,Machakos,Level 3,Radiology,-1.5177,37.2634,2022-09-09,2026-03-12,15611,60,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00065,Ultrasound,Mindray,EPIQ,SN-ZKTF-16719022,20565.0,Olkaria Community Health Centre(Naivasha),Nakuru,Level 3,Imaging,-0.3031,36.08,2020-09-26,2026-03-13,26094,180,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00066,Ventilator,Hamilton,Evita,SN-CCTL-86999386,23674.0,Sori Lakeside Hospital Annex-Nyatike,Migori,Level 4,ICU,-1.0634,34.4731,2022-04-10,2026-04-18,24381,90,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00067,MRI,Philips,MAGNETOM,SN-QFKP-99091334,13074.0,The Mater Misericordiae Hospital,Nairobi,Level 5,Radiology,-1.2864,36.8172,2020-02-08,2026-06-05,5534,60,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00068,CT,GE Healthcare,Revolution,SN-COST-12067974,25045.0,Mwai Kibaki Teaching and Referral Hospital,Nyeri,Level 6,Radiology,-0.4201,36.9476,2021-01-11,2026-07-04,14594,120,High,MaintenanceNeglect,"Maintenance-neglect-to-breakdown pattern modeled on the MES 125-hospital equipment-halt case, where machines across facilities ground to a halt due to lack of maintenance.",0.0
ME-00069,Ultrasound,GE Healthcare,LOGIQ,SN-IOPJ-71349361,17661.0,Mutethia Kiraone Nursing Home,Meru,Level 3,Imaging,0.047,37.6556,2020-11-19,2026-07-28,28292,120,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00070,X-Ray,Philips,Ysio,SN-CHDS-21024994,12921.0,Dorkcare Nursing Home,Nairobi,Level 4,Radiology,-1.2864,36.8172,2021-03-18,2026-07-03,29073,180,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00071,Ultrasound,Philips,EPIQ,SN-CBVU-64887719,14781.0,Kapteren Health Centre,Elgeyo Marakwet,Level 3,Imaging,0.6667,35.5,2023-10-05,2026-04-07,28965,120,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.266
ME-00072,MRI,GE Healthcare,SIGNA,SN-CWWL-01399049,12438.0,Machakos County Referral Hospital,Machakos,Level 5,Radiology,-1.5177,37.2634,2022-08-17,2026-05-29,22917,120,Medium,UsageDiscrepancy+MaintenanceNeglect,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases. Maintenance-neglect-to-breakdown pattern modeled on the January 2025 Naivasha sub-county hospital dialysis machine breakdown, which forced patients to seek care elsewhere.",0.372
ME-00073,Patient Monitor,Philips,CARESCAPE,SN-WAVU-74296717,13551.0,Etono Health Centre,Nyamira,Level 3,ICU,-0.5633,34.9358,2024-04-29,2026-03-10,20395,180,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00074,Hemodialysis,Fresenius,6008,SN-DFUQ-25674680,22879.0,ATIMIROS MEMORIAL,Uasin Gishu,Level 4,Renal Unit,0.5204,35.2699,2021-05-17,2026-03-12,6954,30,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00075,CT,Siemens,SOMATOM,SN-HXNW-68087603,11289.0,Coast General Teaching and Referral Hospital,Mombasa,Level 5,Radiology,-4.0435,39.6682,2022-11-12,2026-06-19,25943,120,High,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00076,Anesthesia,Drager,Aisys,SN-SFHB-70348247,12547.0,Mtito andei Sub County Hospital,Makueni,Level 4,Operating Theatre,-1.8039,37.6202,2023-12-26,2026-06-16,1635,180,Low,MaintenanceNeglect,Maintenance-neglect-to-breakdown pattern modeled on the 2025 Kenyatta National Hospital radiotherapy machine failure that disrupted national oncology services.,0.0
ME-00077,Patient Monitor,Philips,BeneVision,SN-OHDH-32480861,24947.0,Myanga Nursing HomeAnnex,Bungoma,Level 4,ICU,0.5635,34.5606,2024-02-19,2026-07-29,3248,30,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00078,Patient Monitor,Philips,BeneVision,SN-PDJJ-27484677,24475.0,The HARC Medical Centre,Nyandarua,Level 3,ICU,-0.1833,36.5,2021-11-20,2026-03-27,5993,60,Medium,UsageDiscrepancy,"Usage-reporting discrepancy modeled on the 2026 national MES dialysis audit finding: machine usage counters showed materially more work performed than hospitals' paper registers recorded, by more than 30% in some cases.",0.262
ME-00079,Hemodialysis,B. Braun,Dialog+,SN-RASU-98214658,15795.0,Alupe Sub County Referral Hospital,Busia,Level 4,Renal Unit,0.4608,34.1116,2021-03-01,2026-07-30,9396,90,Medium,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00080,Ventilator,Drager,C6,SN-VJWI-99727875,14321.0,Chemolingot District Hospital,Baringo,Level 4,ICU,0.4667,35.9667,2021-10-31,2026-05-17,4542,180,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00081,Patient Monitor,Mindray,CARESCAPE,SN-UVET-53396360,24284.0,Latest Medical Center,Meru,Level 3,ICU,0.047,37.6556,2025-07-11,2026-05-03,13997,60,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00082,Ventilator,Drager,PB980,SN-GCGH-62702895,24929.0,Mediheal Hospital (Nakuru) Annex,Nakuru,Level 4,ICU,-0.3031,36.08,2022-07-06,2026-02-20,26312,90,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00083,Anesthesia,Drager,Aisys,SN-SZPF-26217459,15647.0,St Joseph Hospital,Narok,Level 4,Operating Theatre,-1.0833,35.8667,2021-06-02,2026-08-02,18456,120,High,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00084,Hemodialysis,Fresenius,6008,SN-PORS-86578091,20383.0,Radiant Group of Hospital (Kiambu),Kiambu,Level 4,Renal Unit,-1.1714,36.8356,2020-07-23,2026-07-13,27946,120,Low,Normal,No injected scenario; represents routine operating condition.,0.0
ME-00085,Ultrasound,Mindray,EPIQ,SN-CUYD-16117240,10512.0,Kenol Hospital,Muranga,Level 4,Imaging,-0.7833,37.15,2021-02-13,2026-04-28,24177,60,Critical,Normal,No injected scenario; represents routine operating condition.,0.0
